,player,innings,runs,balls,dismissals,dots,ones,twos,threes,fours,sixes,highest,30s,50s,100s,strike rate,runs per innings,balls Per dismissal,balls per boundary,dot%,bowling_innings,balls_bowled,runs_conceded,wickets_taken,dots_bowled,bowling_dot%
0,A Ashish Reddy,23,280,196,15,61,83,20,1,16,15,36,2,0,0,142.86,12.17,13.07,6.32,31.12,20,270,400,18,79,29.26
1,A Badoni,11,161,139,8,57,53,11,0,11,7,54,1,1,0,115.83,14.64,17.38,7.72,41.01,2,12,12,2,3,25.0
2,A Chopra,6,53,75,5,45,21,2,0,7,0,24,0,0,0,70.67,8.83,15.0,10.71,60.0,0,0,0,0,0,0.0
3,A Choudhary,3,25,20,1,4,13,1,0,1,1,15,0,0,0,125.0,8.33,20.0,10.0,20.0,5,108,144,5,42,38.89
4,A Flintoff,3,62,57,2,24,23,2,1,5,2,24,0,0,0,108.77,20.67,28.5,8.14,42.11,3,66,106,2,20,30.3
5,A Kumble,15,35,49,2,24,21,1,0,3,0,8,0,0,0,71.43,2.33,24.5,16.33,48.98,42,983,1089,45,374,38.05
6,A Manohar,7,108,79,6,30,30,2,0,14,3,43,2,0,0,136.71,15.43,13.17,4.65,37.97,0,0,0,0,0,0.0
7,A Mishra,54,362,410,27,182,172,22,0,29,5,31,2,0,0,88.29,6.7,15.19,12.06,44.39,154,3317,4022,166,1150,34.67
8,A Mithun,6,34,26,5,11,8,2,0,4,1,11,0,0,0,130.77,5.67,5.2,5.2,42.31,16,312,477,7,90,28.85
9,A Mukund,2,19,23,2,9,11,2,0,1,0,19,0,0,0,82.61,9.5,11.5,23.0,39.13,0,0,0,0,0,0.0
10,A Nehra,17,41,63,6,37,21,1,0,3,1,22,0,0,0,65.08,2.41,10.5,15.75,58.73,88,1974,2537,106,798,40.43
11,A Nortje,4,8,13,1,9,2,0,2,0,0,3,0,0,0,61.54,2.0,13.0,13.0,69.23,30,706,946,43,275,38.95
12,A Singh,5,2,10,4,8,2,0,0,0,0,1,0,0,0,20.0,0.4,2.5,10.0,80.0,23,486,639,28,189,38.89
13,A Symonds,36,974,781,24,308,288,66,4,74,41,117,14,6,1,124.71,27.06,32.54,6.79,39.44,30,540,694,20,190,35.19
14,A Tomar,1,4,8,1,7,0,0,0,1,0,4,0,0,0,50.0,4.0,8.0,8.0,87.5,0,0,0,0,0,0.0
15,A Uniyal,2,4,7,1,3,4,0,0,0,0,4,0,0,0,57.14,2.0,7.0,7.0,42.86,2,38,67,2,8,21.05
16,A Zampa,2,5,8,2,6,1,0,0,1,0,5,0,0,0,62.5,2.5,4.0,8.0,75.0,14,292,373,21,90,30.82
17,AA Bilakhia,7,69,88,5,43,31,9,0,5,0,22,0,0,0,78.41,9.86,17.6,17.6,48.86,0,0,0,0,0,0.0
18,AA Chavan,3,12,11,1,5,4,0,0,2,0,7,0,0,0,109.09,4.0,11.0,5.5,45.45,13,255,339,8,100,39.22
19,AA Jhunjhunwala,15,217,218,12,98,82,13,1,19,5,53,2,1,0,99.54,14.47,18.17,9.08,44.95,10,88,130,1,27,30.68
20,AA Noffke,1,9,12,1,6,5,0,0,1,0,9,0,0,0,75.0,9.0,12.0,12.0,50.0,1,25,41,1,6,24.0
21,AB Agarkar,18,179,160,8,60,67,15,0,13,5,39,1,0,0,111.87,9.94,20.0,8.89,37.5,42,820,1174,29,254,30.98
22,AB Barath,3,42,43,2,22,14,1,0,5,1,33,1,0,0,97.67,14.0,21.5,7.17,51.16,0,0,0,0,0,0.0
23,AB Dinda,16,26,50,9,31,16,1,0,2,0,7,0,0,0,52.0,1.62,5.56,25.0,62.0,75,1589,2103,69,627,39.46
24,AB McDonald,9,123,103,5,38,42,9,1,9,4,33,2,0,0,119.42,13.67,20.6,7.92,36.89,10,188,263,11,50,26.6
25,AB de Villiers,170,5162,3479,122,1113,1417,268,17,413,251,133,66,43,3,148.38,30.36,28.52,5.24,31.99,0,0,0,0,0,0.0
26,AC Blizzard,7,120,91,7,48,17,2,1,21,2,51,2,1,0,131.87,17.14,13.0,3.96,52.75,0,0,0,0,0,0.0
